;Fk_RET1min;Fk_RET2min;Fk_RET3min;Fk_RET4min;Fk_RET5min;Fk_RET6min;Qapp_factor.Cc_P2016-01-05.Nd_RET162.000;Qapp_factor.Cc_P2015-05-06.Nd_RET162.000;Qapp_factor.Cc_P2014-07-22.Nd_RET162.000
SensiHydr000;20.04100825609382;28.132129289331;32.34859998938586;26.936345381391284;37.74545213831469;33.7942630323318;1.0255496156986437;1.0597856207926497;1.0250668257255766
SensiHydr001;10.669134488916717;32.70940562171335;36.24265101005456;28.96483065523966;38.16064632009283;42.10829910390735;1.0892019408501008;1.0985316062433341;1.0100541395437326
SensiHydr002;14.80867190019793;28.582557813754363;38.528793560865815;22.209735227096974;33.75185915763848;37.32795591690651;0.9423612786740798;0.9988697426782976;0.9421617107166356
SensiHydr003;23.027391004142878;22.84818855735653;25.100951493326335;29.01696752218926;33.904295137974906;35.959124933699215;0.946597178057156;0.9298095856784274;1.084830019351965
SensiHydr004;6.093073826917429;21.691087106613672;21.92301542553443;30.734765369070363;49.420138104996276;27.25467270106994;1.0255597631009796;0.9678483934535733;0.9298458464177812
SensiHydr005;18.750210432651453;26.40385579532153;27.380700340406932;20.762198400202017;38.29347964437442;34.13592626463555;0.961256443260485;0.9703715348331348;0.9759235171440876
SensiHydr006;15.224964754071802;38.54435108081445;28.988940758864306;28.514422961624746;46.82154444739966;33.6163547566967;0.9128895122540481;1.0276024583903167;1.047346990780192
SensiHydr007;24.186246550704514;23.2403631974439;24.17109194840579;21.859551598002245;42.565609575170306;41.66048995987915;1.0519418349689302;0.9112110488274522;1.0363325294813428
SensiHydr008;21.05333991234742;34.11636995853067;27.424936459100792;22.518839807672116;43.96164447575125;36.50310409519054;1.0488391771634742;1.0589650869210079;1.0243585590256683
SensiHydr009;20.96578005729885;29.84993460246652;38.7406226697712;21.11223963002987;39.44688040452406;23.51067390231165;0.9393174674054593;0.9160092392993081;1.0006393984885646
SensiHydr010;14.647372006837148;28.511182492383366;29.410305460787406;19.594028693460107;40.09275827700339;33.30709864821477;1.0206077821873734;0.9438413357509909;0.9090461285735552
SensiHydr011;18.305089676488485;26.883290687629064;25.955151219991283;24.94785710871778;48.93308875810099;26.920306643184446;0.9730451225313003;1.0637970260683571;0.9213485770375794
SensiHydr012;5.549690090649573;25.806637486962515;37.41538794209358;22.040854340396475;39.994786588277385;29.112583790050245;0.9437771325740705;0.9253515211216256;1.0825206470544215
SensiHydr013;10.585573547725096;27.699231246583402;32.75567514701092;25.897136750452198;39.752161951585336;38.79390160695845;1.0089411222227045;1.086059846643722;1.0396237293044348
SensiHydr014;10.441094422683296;21.82112950039729;26.73407802822733;22.974464490565662;45.65205647665084;25.545626252407615;0.938724912454057;0.9788672736191707;1.0379077395557668
SensiHydr015;16.546080867097526;34.786711653253946;36.92917363657899;12.42456970790042;33.86781968472147;29.454395867160557;1.0912630454238816;1.0925769895855852;1.032406855030375
SensiHydr016;21.978966129582787;23.077597106007502;29.446972111642033;19.737708828058075;42.74694532208135;37.14897180667056;1.0901796466601383;1.0873086699918966;0.9598752640199588
